,SRISK,UKNGDP
30/06/2000,6853.160033,273916
30/09/2000,2749.746996,276174
31/12/2000,0,278357
31/03/2001,1448.727846,282889
30/06/2001,1628.355443,286728
30/09/2001,5069.481172,288166
31/12/2001,3641.749937,288352
31/03/2002,5074.186185,292486
30/06/2002,9250.652035,295516
30/09/2002,36289.23646,299230
31/12/2002,37791.35833,304207
31/03/2003,49329.51908,307485
30/06/2003,40475.28925,312948
30/09/2003,35315.06297,317463
31/12/2003,39404.72653,320438
31/03/2004,35094.60537,322778
30/06/2004,52771.79949,329732
30/09/2004,40113.45844,331592
31/12/2004,44259.8883,338535
31/03/2005,42395.4296,341254
30/06/2005,87164.48978,348491
30/09/2005,109497.9132,352001
31/12/2005,93861.26451,357003
31/03/2006,80069.14194,361213
30/06/2006,112271.1326,367042
30/09/2006,105593.3082,370883
31/12/2006,72634.4958,372900
31/03/2007,116878.7823,376958
30/06/2007,116246.4891,386144
30/09/2007,241985.9647,389291
31/12/2007,345663.8291,392244
31/03/2008,386482.2585,397800
30/06/2008,419119.051,400685
30/09/2008,472760.4148,399994
31/12/2008,530259.3953,395121
31/03/2009,522639.6888,386874
30/06/2009,438354.2718,386553
30/09/2009,395675.6434,388596
31/12/2009,368677.5789,386779
31/03/2010,335959.7043,396176
30/06/2010,311812.859,401223
30/09/2010,295651.7692,404365
31/12/2010,339831.017,406789
31/03/2011,286118.9404,414806
30/06/2011,329403.5598,412364
30/09/2011,412895.3007,416115
31/12/2011,425833.9891,419305
31/03/2012,386215.2192,424540
30/06/2012,378172.1494,424939
30/09/2012,409605.633,430964
31/12/2012,331503.5211,433272
31/03/2013,328125.9145,438283
30/06/2013,288491.0462,442095
30/09/2013,263834.6802,448800
31/12/2013,281423.8456,452183
31/03/2014,287200.2886,457683
30/06/2014,278438.8261,461549
30/09/2014,247136.6265,470624
31/12/2014,292818.1499,472658
31/03/2015,276114.8845,474680
30/06/2015,250852.1284,476591
30/09/2015,287531.0303,479924
31/12/2015,268910.9525,485256
31/03/2016,315948.7213,489683
30/06/2016,386138.3609,493710
30/09/2016,293057.7476,500801
31/12/2016,286697.4517,507451
31/03/2017,228100.496,513814
30/06/2017,200231.5189,517656
30/09/2017,211008.9479,521257
31/12/2017,192077.0335,529755
31/03/2018,169622.9658,531131
30/06/2018,231887.1975,535707
30/09/2018,257521.6197,540205
31/12/2018,239050.5858,545261
31/03/2019,223583.5378,549060
30/06/2019,252329.2325,556104
30/09/2019,307622.8778,562999
31/12/2019,322867.527,565758
31/03/2020,333281.312,555891
30/06/2020,388086.1461,476160
30/09/2020,397870.1397,533806
31/12/2020,402933.1671,537629
31/03/2021,345128.1469,537992
30/06/2021,359454.5059,568521
30/09/2021,356694.9009,581805
31/12/2021,357687.6168,597082
31/03/2022,344892.1908,610346
30/06/2022,340431.7544,625467
30/09/2022,367659.249,636553
31/12/2022,326661.3092,654062
31/03/2023,327851.4749,667103
30/06/2023,299647.4001,679433
30/09/2023,315056.0405,685035
31/12/2023,309847.659,685749
31/03/2024,319295.1415,698800
30/06/2024,309445.7144,707433
30/09/2024,291198.2712,717089
31/12/2024,260002.2725,724724
,,
,,
